vals,
1e-12,
1.2e-12,
1.5e-12,
1.8e-12,
2.2000000000000003e-12,
2.7000000000000002e-12,
3.2999999999999997e-12,
3.9e-12,
4.7e-12,
5.5999999999999996e-12,
6.799999999999999e-12,
8.2e-12,
1e-11,
1.1999999999999999e-11,
1.5e-11,
1.8e-11,
2.2e-11,
2.7e-11,
3.2999999999999996e-11,
3.8999999999999995e-11,
4.7e-11,
5.5999999999999994e-11,
6.8e-11,
8.199999999999999e-11,
1e-10,
1.2e-10,
1.5e-10,
1.8e-10,
2.2000000000000002e-10,
2.7000000000000005e-10,
3.3e-10,
3.9e-10,
4.7e-10,
5.6e-10,
6.8e-10,
8.2e-10,
1e-09,
1.2e-09,
1.5000000000000002e-09,
1.8000000000000002e-09,
2.2000000000000003e-09,
2.7e-09,
3.3e-09,
3.9e-09,
4.700000000000001e-09,
5.6e-09,
6.8000000000000005e-09,
8.199999999999999e-09,
1e-08,
1.2e-08,
1.5000000000000002e-08,
1.8000000000000002e-08,
2.2000000000000002e-08,
2.7000000000000004e-08,
3.3e-08,
3.9e-08,
4.7000000000000004e-08,
5.6e-08,
6.8e-08,
8.199999999999999e-08,
1e-07,
1.2e-07,
1.5e-07,
1.8e-07,
2.2e-07,
2.7e-07,
3.2999999999999996e-07,
3.8999999999999997e-07,
4.7e-07,
5.599999999999999e-07,
6.8e-07,
8.199999999999999e-07,
1e-06,
1.2e-06,
1.5e-06,
1.8e-06,
2.2e-06,
2.7e-06,
3.2999999999999997e-06,
3.9e-06,
4.7e-06,
5.6e-06,
6.799999999999999e-06,
8.2e-06,
1e-05,
1.2e-05,
1.5000000000000002e-05,
1.8e-05,
2.2000000000000003e-05,
2.7000000000000002e-05,
3.3e-05,
3.9e-05,
4.7000000000000004e-05,
5.6e-05,
6.8e-05,
8.2e-05,
0.0001,
0.00012,
0.00015000000000000001,
0.00018,
0.00022000000000000003,
0.00027000000000000006,
0.00033,
0.00039,
0.00047000000000000004,
0.00056,
0.00068,
0.00082,
0.001,
0.0012,
0.0015,
0.0018000000000000002,
0.0022,
0.0027,
0.0033,
0.0039,
0.0047,
0.0056,
0.0068,
0.008199999999999999,
0.01,
0.012,
0.015,
0.018000000000000002,
0.022000000000000002,
0.027000000000000003,
0.033,
0.039,
0.047,
0.055999999999999994,
0.068,
0.08199999999999999,
0.1,
0.12,
0.15000000000000002,
0.18000000000000002,
0.22000000000000003,
0.27,
0.33,
0.39,
0.47000000000000003,
0.5599999999999999,
0.68,
0.82,
1.0,
1.2,
1.5,
1.8,
2.2,
2.7,
3.3,
3.9,
4.7,
5.6,
6.8,
8.2,
10.0,
12.0,
15.0,
18.0,
22.0,
27.0,
33.0,
39.0,
47.0,
56.0,
68.0,
82.0,
100.0,
120.0,
150.0,
180.0,
220.00000000000003,
270.0,
330.0,
390.0,
470.0,
560.0,
680.0,
819.9999999999999,
1000.0,
1200.0,
1500.0,
1800.0,
2200.0,
2700.0,
3300.0,
3900.0,
4700.0,
5600.0,
6800.0,
8200.0,
10000.0,
12000.0,
15000.0,
18000.0,
22000.0,
27000.0,
33000.0,
39000.0,
47000.0,
56000.0,
68000.0,
82000.0,
100000.0,
120000.0,
150000.0,
180000.0,
220000.00000000003,
270000.0,
330000.0,
390000.0,
470000.0,
560000.0,
680000.0,
819999.9999999999,
1000000.0,
1200000.0,
1500000.0,
1800000.0,
2200000.0,
2700000.0,
3300000.0,
3900000.0,
4700000.0,
5600000.0,
6800000.0,
8199999.999999999,
10000000.0,
12000000.0,
15000000.0,
18000000.0,
22000000.0,
27000000.0,
33000000.0,
39000000.0,
47000000.0,
56000000.0,
68000000.0,
82000000.0,
100000000.0,
120000000.0,
150000000.0,
180000000.0,
220000000.00000003,
270000000.0,
330000000.0,
390000000.0,
470000000.0,
560000000.0,
680000000.0,
819999999.9999999,
1000000000.0,
1200000000.0,
1500000000.0,
1800000000.0,
2200000000.0,
2700000000.0,
3300000000.0,
3900000000.0,
4700000000.0,
5600000000.0,
6800000000.0,
8199999999.999999,
